taxon,rho,pval,padj,sig,dir,func_guild,in_ml_top_taxa,colour_cat,label_set
Species|Bifidobacterium animalis,0.07120743034055727,0.7788829476841137,0.8591049741309793,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Duncaniella,0.06914344685242518,0.7851478708666944,0.8643964410102486,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Parabacteroides,0.06707946336429309,0.7914253837974394,0.8664489796592785,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Prevotella sp. E13-17,-0.06707946336429309,0.7914253837974394,0.8664489796592785,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Sedimentibacter sp. zth1,-0.06707946336429309,0.7914253837974394,0.8664489796592785,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella intermedia,-0.0608875128998968,0.8103299008966282,0.8822260843403227,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Segatella copri,0.0608875128998968,0.8103299008966292,0.8822260843403227,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Porphyromonas sp. oral taxon 275,0.0608875128998968,0.8103299008966292,0.8822260843403227,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Vibrio parahaemolyticus,-0.058823529411764705,0.816654203568489,0.8874710809997048,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Parabacteroides distasonis,-0.05675954592363261,0.8229893024799766,0.8878034783163117,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Genus|Barnesiella,0.05675954592363261,0.8229893024799763,0.8878034783163117,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Vreelandella aquamarina,-0.05675954592363261,0.8229893024799766,0.8878034783163117,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Nitrospirales bacterium,0.05675954592363261,0.8229893024799763,0.8878034783163117,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Barnesiella sp. An22,0.054695562435500514,0.8293348337875044,0.893013193968629,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Class|Epsilonproteobacteria,-0.05263157894736842,0.8356904320597224,0.8965786238309226,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|uncultured Candidatus Binatia bacterium,0.05263157894736842,0.835690432059722,0.8965786238309226,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Class|Bacteroidia,-0.04850361197110423,0.8484303601629731,0.9069427987949022,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Xylanibacter ruminicola,-0.04850361197110423,0.8484303601629731,0.9069427987949022,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Phylum|Bacteroidota,-0.04643962848297214,0.8548139516870749,0.910461876209199,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|[Clostridium] colinum,-0.04643962848297214,0.8548139516870749,0.910461876209199,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Candidatus Lachnocurva vaginae,-0.04437564499484004,0.8612061336731368,0.9139647076278876,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Anaerotignum sp. MB30-C6,0.04437564499484004,0.8612061336731368,0.9139647076278876,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Muribaculum sp.,-0.03611971104231166,0.8868532969155283,0.9394902731713061,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Helicobacter cinaedi,0.03199174406604747,0.899718678288882,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Vallitaleaceae bacterium,0.03199174406604747,0.899718678288882,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Prevotella communis,0.029927760577915376,0.9061604960497216,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Bacteroidales bacterium,0.029927760577915376,0.9061604960497216,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Nitrosopumilus sp.,0.029927760577915376,0.9061604960497216,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Muribaculum gordoncarteri,0.02786377708978328,0.9126078919940869,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Phocaeicola coprophilus,0.02786377708978328,0.9126078919940869,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Candidatus Azotimanducaceae bacterium,0.02786377708978328,0.9126078919940869,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Lactobacillus,0.02786377708978328,0.9126078919940869,0.9496926649903131,FALSE,Dysbiosis-promoting,Acetate guild,FALSE,Acetate guild,NA
Species|Adlercreutzia hattorii,0.02786377708978328,0.9126078919940869,0.9496926649903131,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Pseudoprevotella muciniphila,-0.02579979360165119,0.9190604851409846,0.9513648958665025,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Helicobacter canadensis,0.02579979360165119,0.9190604851409846,0.9513648958665025,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Helicobacter himalayensis,0.02579979360165119,0.9190604851409846,0.9513648958665025,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Acholeplasmataceae bacterium,-0.021671826625386997,0.9319797351987381,0.9628979984241098,FALSE,Dysbiosis-protecting,ML top taxa,TRUE,ML top taxa,NA
