taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|Saprospiraceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Bacteroidota bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Rhodothermales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Ignavibacteriaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Candidatus Latescibacterota bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Latescibacterota bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Longimicrobiales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Phylum|Pseudomonadota,0,0,0,0,FALSE,FALSE,FALSE
Class|Gammaproteobacteria,0,0,0,0,FALSE,FALSE,FALSE
Order|Enterobacterales,0,0,0,0,FALSE,FALSE,FALSE
Family|Enterobacteriaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Escherichia,0,0,0,0,FALSE,FALSE,FALSE
Species|Escherichia coli,0,0,0,0,FALSE,FALSE,FALSE
Species|Klebsiella pneumoniae,0,0,0,0,FALSE,FALSE,FALSE
Family|Pseudomonadaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Pseudomonas,0,0,0,0,FALSE,FALSE,FALSE
Species|Pseudomonadales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Candidatus Azotimanducaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Genus|Acinetobacter,0,0,0,0,FALSE,FALSE,FALSE
Species|Acinetobacter baumannii,0,0,0,0,FALSE,FALSE,FALSE
Genus|Vibrio,0,0,0,0,FALSE,FALSE,FALSE
Species|Vibrio parahaemolyticus,0,0,0,0,FALSE,FALSE,FALSE
Species|Vreelandella aquamarina,0,0,0,0,FALSE,FALSE,FALSE
Family|Pasteurellaceae,0,0,0,0,FALSE,FALSE,FALSE
Species|Haemophilus influenzae,0,0,0,0,FALSE,FALSE,FALSE
Species|Rodentibacter caecimuris,0,0,0,0,FALSE,FALSE,FALSE
Species|Rodentibacter pneumotropicus,0,0,0,0,FALSE,FALSE,FALSE
Species|Rodentibacter abscessus,0,0,0,0,FALSE,FALSE,FALSE
Species|Pasteurellaceae bacterium NI1060,0,0,0,0,FALSE,FALSE,FALSE
Species|Pasteurella multocida,0,0,0,0,FALSE,FALSE,FALSE
Species|Mannheimia granulomatis,0,0,0,0,FALSE,FALSE,FALSE
Species|Glaesserella parasuis,0,0,0,0,FALSE,FALSE,FALSE
Species|Glaesserella sp. 15-184,0,0,0,0,FALSE,FALSE,FALSE
Species|Avibacterium paragallinarum,0,0,0,0,FALSE,FALSE,FALSE
Species|Gammaproteobacteria bacterium,0,0,0,0,FALSE,FALSE,FALSE
Genus|Aeromonas,0,0,0,0,FALSE,FALSE,FALSE
Species|Arenicellales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Gammaproteobacteria bacterium,0,0,0,0,FALSE,FALSE,FALSE
Class|Alphaproteobacteria,0,0,0,0,FALSE,FALSE,FALSE
Order|Hyphomicrobiales,0,0,0,0,FALSE,FALSE,FALSE
Species|Agrobacterium pusense,0,0,0,0,FALSE,FALSE,FALSE
Genus|Bradyrhizobium,0,0,0,0,FALSE,FALSE,FALSE
Order|Rhodobacterales,0,0,0,0,FALSE,FALSE,FALSE
Species|Paracoccaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Rhodospirillales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Alphaproteobacteria bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Alphaproteobacteria bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Candidatus Enterousia intestinigallinarum,0,0,0,0,FALSE,FALSE,FALSE
Class|Betaproteobacteria,0,0,0,0,FALSE,FALSE,FALSE
Order|Burkholderiales,0,0,0,0,FALSE,FALSE,FALSE
Family|Comamonadaceae,0,0,0,0,FALSE,FALSE,FALSE
Species|Acidovorax sp. BLS4,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Parasutterella sp.,0,0,0,0,FALSE,FALSE,FALSE
Class|Epsilonproteobacteria,0,0,0,0,FALSE,FALSE,FALSE
Order|Campylobacterales,0,0,0,0,FALSE,FALSE,FALSE
Genus|Helicobacter,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter apodemus,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter hepaticus,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter winghamensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter typhlonius,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter pullorum,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter canadensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter mastomyrinus,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter pylori,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter ganmani,0,0.030587082784011344,0,0.030587082784011344,FALSE,TRUE,TRUE
Species|Helicobacter cinaedi,0,0,0,0,FALSE,FALSE,FALSE
Species|Helicobacter himalayensis,0,0,0,0,FALSE,FALSE,FALSE
Genus|Campylobacter,0,0,0,0,FALSE,FALSE,FALSE
Species|Campylobacter jejuni,0,0,0,0,FALSE,FALSE,FALSE
Family|Arcobacteraceae,0,0.03251044871313514,0,0.03251044871313514,FALSE,TRUE,TRUE
Species|Arcobacteraceae bacterium,0,0.3844665797812245,0,0.3844665797812245,FALSE,TRUE,TRUE
Species|Mucispirillum schaedleri,0,0.5591333785886908,0,0.5591333785886908,FALSE,TRUE,TRUE
Phylum|Thermodesulfobacteriota,0,0,0,0,FALSE,FALSE,FALSE
Order|Desulfovibrionales,0,0,0,0,FALSE,FALSE,FALSE
Family|Desulfovibrionaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Desulfovibrio,0,0,0,0,FALSE,FALSE,FALSE
Species|Desulfovibrio piger,0,0,0,0,FALSE,FALSE,FALSE
Species|Taurinivorans muris,0,0,0,0,FALSE,FALSE,FALSE
Species|Bilophila wadsworthia,0,0,0,0,FALSE,FALSE,FALSE
Species|Phycisphaerales bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Planctomycetota bacterium,0,0,0,0,FALSE,FALSE,FALSE
Species|Akkermansia muciniphila,0,0,0,0,FALSE,FALSE,FALSE
Species|Bryobacterales bacterium,0,0,0,0,FALSE,FALSE,FALSE
